983	2
1456	3
2803	2
1579	3
516	2
2512	1
2553	1
1029	1
2463	2
2704	2
2204	2
2758	1
786	1
2301	1
2846	1
496	5
1882	2
685	4
2851	3
1275	2
1507	4
1923	3
2757	1
1701	1
1855	1
2461	1
1977	1
940	2
2657	1
1796	2
342	3
2421	3
2289	1
2198	3
1695	1
979	1
2326	1
1432	3
1833	3
2288	3
1458	4
2554	1
240	3
1886	1
49	2
375	2
1950	1
825	65
2639	1
2009	2
1736	1
289	1
483	4
2763	2
1864	1
295	1
1077	1
615	3
1330	1
1283	1
986	1
2174	2
2747	1
2207	1
190	2
2248	1
2383	1
639	3
2359	2
1682	2
2717	1
2603	67
997	1
2178	2
2116	1
344	1
2852	4
1846	1
1972	2
683	2
1031	2
1298	2
1300	2
2648	1
2606	1
1051	1
220	1
515	1
2585	2
758	2
2403	1
313	1
509	1
726	1
2733	1
1115	2
862	1
1457	2
570	2
1922	1
781	2
2333	1
1779	1
1107	2
224	2
2739	2
165	2
1363	2
1744	1
186	1
2155	3
1822	2
2206	1
2443	2
1099	2
378	3
397	2
2225	1
1204	1
1613	1
1754	2
2004	3
1799	2
2399	3
306	2
627	3
2316	1
686	2
17	2
632	2
1231	1
380	4
2480	2
424	2
1279	2
2054	2
1759	2
1340	1
1615	1
1341	4
2250	2
1501	1
2061	1
1778	1
1471	1
117	2
1628	1
1789	3
2176	2
898	1
1887	3
1988	1
769	1
1791	2
2193	1
2242	3
1654	2
2041	2
2021	2
2077	3
2255	3
702	1
1153	2
1441	2
1260	4
2244	1
184	1
2536	1
1024	2
2251	1
2713	1
416	1
1717	2
10	3
11	3
18	1
59	1
82	3
121	1
134	2
154	2
201	2
264	5
278	1
279	1
305	1
338	2
340	1
356	1
379	1
382	3
433	1
500	2
505	1
506	2
508	3
556	2
567	1
587	3
616	1
618	1
628	1
693	1
736	1
737	1
787	1
804	1
817	4
821	4
842	1
857	1
872	3
879	2
910	4
942	2
946	2
951	2
956	1
965	2
975	1
989	1
1010	3
1022	2
1038	1
1059	2
1063	1
1073	1
1129	1
1175	2
1239	1
1268	2
1367	1
1400	3
1402	1
1466	1
1496	2
1536	4
1542	2
1547	1
1566	2
1590	1
1616	1
1675	1
1683	2
1764	1
1819	1
1837	2
1854	2
1857	3
1883	2
1900	4
1904	1
1921	1
1938	1
1947	2
2013	1
2110	1
2188	3
2197	1
2199	3
2205	1
2247	3
2252	2
2260	2
2271	2
2293	1
2315	2
2334	1
2343	1
2353	1
2361	1
2375	1
2394	3
2444	1
2460	2
2469	3
2493	2
2497	2
2515	1
2527	3
2533	1
2583	2
2604	2
2610	1
2622	4
2629	2
2633	1
2640	2
2641	3
2644	1
2645	1
2667	1
2680	2
2686	2
2689	2
2709	1
2720	1
2721	2
2734	1
2735	4
2740	1
2744	2
2771	2
2776	2
2798	1
2813	2
2843	2
2312	2
1644	3
96	2
325	2
2791	1
947	2
1984	1
1818	1
1371	2
1317	3
580	2
1111	2
2830	1
2496	2
2453	1
244	2
2751	2
2697	1
2076	1
1282	1
835	2
1320	1
393	1
1741	3
1889	1
1226	3
147	3
335	2
1483	4
512	1
2378	2
1016	2
1044	1
1253	1
1104	1
2208	3
1106	3
438	2
2229	2
1119	1
798	1
130	2
1499	3
579	2
2146	2
2226	1
1508	1
80	4
2863	1
1430	2
824	1
2678	2
1898	1
2651	2
1319	1
2786	3
1929	2
223	1
2228	1
1506	3
332	1
2409	1
2730	3
308	2
24	2
2133	1
562	1
13	2
1339	1
2827	1
1493	2
1823	1
1945	4
2547	2
521	2
1326	3
1476	1
2028	1
1359	2
2859	2
2281	2
2611	4
763	1
2600	1
2144	2
1324	1
2605	1
2486	2
1523	3
543	1
1607	4
1748	1
1277	2
1281	2
1621	1
1531	2
2531	1
1767	3
167	1
646	2
2330	2
2182	1
728	1
805	2
1906	1
815	2
801	2
518	1
440	1
439	1
1166	1
399	1
2492	2
656	19
938	1
626	2
2728	1
212	5
1812	4
566	2
622	4
1587	2
1168	4
1627	1
2646	1
674	2
1171	1
448	2
1464	1
1931	3
1105	2
1385	2
2024	2
2053	2
12	1
1647	1
848	3
398	1
132	2
1743	4
1198	1
904	2
1637	3
330	2
563	10
661	1
856	2
799	2
665	3
1433	1
1526	2
1461	1
1925	2
1932	1
2393	2
664	2
866	4
1135	1
924	3
1828	1
495	3
2323	3
657	6
1678	2
2722	3
2616	1
238	1
1349	3
1961	3
1709	1
2091	2
2310	3
1573	2
912	3
355	2
1381	3
2643	2
1577	2
2128	1
1185	2
29	1
2613	3
1722	1
2299	3
40	3
816	2
68	2
1694	1
2855	1
774	2
931	1
2034	1
376	1
1592	3
1297	1
1994	1
845	3
2878	1
544	3
1276	2
2764	3
2035	1
1539	2
1908	1
2668	2
369	3
281	1
2712	2
2506	2
2538	1
1174	1
219	2
1431	1
350	1
311	3
2274	1
2211	3
2446	3
783	2
1364	1
542	2
53	2
459	1
1813	1
1524	1
909	5
410	2
1113	1
435	1
1343	3
2619	1
1586	2
860	1
2779	1
2386	2
936	2
158	2
1442	2
2560	1
819	1
1766	1
2027	2
922	3
1415	1
2556	1
676	2
1809	1
1558	1
2165	1
47	1
123	1
394	1
1049	1
987	1
1832	1
560	1
980	1
1848	1
1302	1
2647	1
2516	2
2130	2
2294	1
982	1
1170	4
2277	2
2066	1
1856	2
1384	4
1987	3
200	1
2820	2
888	1
630	1
1718	3
2752	1
464	2
229	1
1148	1
2356	2
1017	1
1332	1
1845	3
1980	2
37	1
546	3
1817	1
1576	1
2623	1
1361	1
1676	2
2581	2
592	1
327	1
792	1
553	2
636	3
2811	1
1037	3
517	1
310	2
1892	3
2127	1
155	1
2428	1
55	1
2454	1
137	1
2761	2
882	3
1742	1
2448	2
655	3
1714	1
337	4
919	2
768	2
421	1
1772	3
529	4
1664	3
242	2
339	1
1007	1
697	2
2019	1
2707	1
336	1
389	1
694	2
1057	1
2594	1
1469	2
730	1
1838	1
677	2
1286	2
1782	1
206	1
1498	4
1003	1
742	2
1150	1
652	2
1423	2
1406	1
903	1
2627	1
2162	1
1594	3
1274	2
318	2
1596	2
2030	1
1750	2
834	2
1178	2
